State,Governor,Date of Birth,Date of Inauguration,Age at Inauguration,Time in Office,Age,Party
Alabama,Kay Ivey,"October 15, 1944","April 10, 2017","72 years, 177 days","3 years, 47 days","75 years, 225 days",Republican
Alaska,Mike Dunleavy,"May 5, 1961","December 3, 2018","57 years, 212 days","1 year, 176 days","59 years, 22 days",Republican
Arizona,Doug Ducey,"April 9, 1964","January 5, 2015","50 years, 271 days","5 years, 143 days","56 years, 48 days",Republican
Arkansas,Asa Hutchinson,"December 3, 1950","January 13, 2015","64 years, 41 days","5 years, 135 days","69 years, 176 days",Republican
California,Gavin Newsom,"October 10, 1967","January 7, 2019","51 years, 89 days","1 year, 141 days","52 years, 230 days",Democratic
Colorado,Jared Polis,"May 12, 1975","January 8, 2019","43 years, 241 days","1 year, 140 days","45 years, 15 days",Democratic
Connecticut,Ned Lamont,"January 3, 1954","January 9, 2019","65 years, 6 days","1 year, 139 days","66 years, 145 days",Democratic
Delaware,John Carney,"May 20, 1956","January 17, 2017","60 years, 242 days","3 years, 131 days","64 years, 7 days",Democratic
Florida,Ron DeSantis,"September 14, 1978","January 8, 2019","40 years, 116 days","1 year, 140 days","41 years, 256 days",Republican
Georgia,Brian Kemp,"November 2, 1963","January 14, 2019","55 years, 73 days","1 year, 134 days","56 years, 207 days",Republican
Hawaii,David Ige,"January 15, 1957","December 1, 2014","57 years, 320 days","5 years, 178 days","63 years, 133 days",Democratic
Idaho,Brad Little,"February 15, 1954","January 6, 2019","64 years, 325 days","1 year, 142 days","66 years, 102 days",Republican
Illinois,J. B. Pritzker,"January 19, 1965","January 14, 2019","53 years, 360 days","1 year, 134 days","55 years, 129 days",Democratic
Indiana,Eric Holcomb,"May 2, 1968","January 9, 2017","48 years, 252 days","3 years, 139 days","52 years, 25 days",Republican
Iowa,Kim Reynolds,"August 4, 1959","May 24, 2017","57 years, 293 days","3 years, 3 days","60 years, 297 days",Republican
Kansas,Laura Kelly,"January 24, 1950","January 14, 2019","68 years, 355 days","1 year, 134 days","70 years, 124 days",Democratic
