level_0,index,Task,start,end,Department,Completion,Duration,rel_start,comp
7,0,Task A,2021-06-14 20:21:00,2021-06-18 20:21:00,Mkt,100,5,0,5.0
0,1,Task B,2021-06-16 20:21:00,2021-06-24 20:21:00,Fin,100,9,2,9.0
1,2,Task C,2021-06-18 20:21:00,2021-06-22 20:21:00,Fin,100,5,4,5.0
4,4,Task E,2021-06-22 20:21:00,2021-06-30 20:21:00,HR,60,9,8,5.4
8,3,Task D,2021-06-22 20:21:00,2021-06-25 20:21:00,Mkt,90,4,8,3.6
2,5,Task F,2021-06-24 20:21:00,2021-06-26 20:21:00,Fin,50,3,10,1.5
3,6,Task G,2021-06-25 20:21:00,2021-06-26 20:21:00,Fin,20,2,11,0.4
9,7,Task H,2021-06-27 20:21:00,2021-06-30 20:21:00,Mkt,20,4,13,0.8
10,8,Task I,2021-06-27 20:21:00,2021-07-03 20:21:00,Mkt,10,7,13,0.7
11,9,Task J,2021-06-30 20:21:00,2021-07-04 20:21:00,Mkt,0,5,16,0.0
6,11,Task L,2021-07-01 20:21:00,2021-07-06 20:21:00,HR,0,6,17,0.0
5,10,Task K,2021-07-04 20:21:00,2021-07-08 20:21:00,HR,0,5,20,0.0
