50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,position,possession,possession_team,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b655c0a4-d309-4bd9-8f03-e713363a73b4,1,,,7580,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3961, 'name': 'N""Golo Kanté'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39b8bd67-44ec-41fb-87d6-ce26efc2d691,2,,,7580,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6312, 'name': 'Franco Armani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5496, 'name': 'Cristian David Pavón'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Argentina,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0433dac7-c72f-4409-9240-abbb6d620525,3,,,7580,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,['fe850519-7056-4cdf-949e-a2513b2ccc6b'],0,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe850519-7056-4cdf-949e-a2513b2ccc6b,4,,,7580,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,['0433dac7-c72f-4409-9240-abbb6d620525'],0,,,,,,,,,,,,,,,Argentina,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c27256b-ed49-4c87-a32b-0fab4914d405,1860,,,7580,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,79,France,['23cf85be-7233-4c1d-a76e-06328b851ae0'],0,,,,,,,,,,,,,,,Argentina,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23cf85be-7233-4c1d-a76e-06328b851ae0,1861,,,7580,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,79,France,['9c27256b-ed49-4c87-a32b-0fab4914d405'],0,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,297180ed-6ff2-4e49-8ff8-510ff6882abe,5,,"[60.0, 42.0]",7580,0,,2.6928694,,,Left Foot,,,"[33.0, 55.0]",,Ground Pass,29.966648,,,Raphaël Varane,,,Kick Off,1,From Kick Off,Antoine Griezmann,Right Wing Back,2,France,['d6a981d4-ae6a-4b7a-96c4-fd6f3e3a7256'],1,,,,,,,,,,,,,,,France,00:00:01.880,Pass,
,,,,,,,,,,,,,,,2.206,,,,,,,,,,,,,44eb284e-83fe-4b47-bfe3-ca7eaecfa5bd,8,,"[40.0, 53.0]",7580,0,,0.24997862,,,Right Foot,,,"[87.0, 65.0]",,High Pass,48.507732,,Unknown,,,,,1,From Kick Off,Raphaël Varane,Right Center Back,2,France,,6,,,,,,,,,,,,,,,France,00:00:06.440,Pass,
,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,82596ed1-66cc-475f-bcf0-e484967f49c0,11,,"[31.0, 21.0]",7580,0,,0.018179815,,,Right Foot,,,"[86.0, 22.0]",,High Pass,55.00909,,Incomplete,Éver Maximiliano David Banega,,,Free Kick,1,From Free Kick,Franco Armani,Goalkeeper,3,Argentina,"['7d977e1c-d0cc-45c7-9267-f9790f95f161', 'f60a70fd-1dbf-451d-97cc-113b8b089eed']",47,,,,,,,,,,,,,,,Argentina,00:00:47.040,Pass,
,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,abda3dfe-e021-4eb9-98e6-4dfdb915f528,16,,"[37.0, 55.0]",7580,0,,1.19029,,,Right Foot,,,"[45.0, 75.0]",,Low Pass,21.540659,,,Kylian Mbappé Lottin,,,,1,Regular Play,Paul Pogba,Right Defensive Midfield,4,France,['80dd1c83-3ca0-43e5-8cdf-2bd3f7b2be67'],50,,,,,,,,,,,,,,,France,00:00:50.480,Pass,
,,,,,,,,,,,,,,,1.466,,,,,,,,,,,,,c70beba2-e7c2-4fa3-99d2-de691150bac2,20,,"[47.0, 75.0]",7580,0,,-3.0367157,,,Right Foot,,,"[28.0, 73.0]",,High Pass,19.104973,,,Benjamin Pavard,,,,1,Regular Play,Kylian Mbappé Lottin,Right Wing,4,France,['db134a60-5e74-42c8-9ab7-8130402b6d29'],52,,,,,,,,,,,,,,,France,00:00:52.440,Pass,
,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,79f60b43-5801-457a-81d1-216c5896df39,24,,"[26.0, 67.0]",7580,0,,-2.2348425,,,Right Foot,,,"[8.0, 44.0]",,Ground Pass,29.206163,,,Hugo Lloris,,,,1,Regular Play,Benjamin Pavard,Right Back,4,France,['fe569c42-baf7-415c-83a5-62ea929aec53'],54,,,,,,,,,,,,,,,France,00:00:54.920,Pass,
,,,,,,,,,,,,,,,1.306,,,,,,,,,,,,,a66c39f9-0bc3-4423-a414-823fcabdf760,27,,"[8.0, 42.0]",7580,0,,-1.3825748,,,Right Foot,,,"[12.0, 21.0]",,Ground Pass,21.377558,,,Samuel Yves Umtiti,,,,1,Regular Play,Hugo Lloris,Goalkeeper,4,France,['b52c04ff-3581-4a1a-8258-a3cf46454ed4'],59,,,,,,,,,,,,,,,France,00:00:59.040,Pass,
,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,20757d0d-b0e0-45e9-beda-3283f52131cb,30,,"[21.0, 25.0]",7580,1,,1.4711276,,,Left Foot,,,"[24.0, 55.0]",,Ground Pass,30.149628,,,Raphaël Varane,,,,1,Regular Play,Samuel Yves Umtiti,Left Center Back,4,France,['9762c184-7e85-4a97-802c-10b8278a938e'],3,,,,,,,,,,,,,,,France,00:01:03.947,Pass,
