GW,Home,Away,xG_Home,xG_Away,G_Home,G_Away
1,BRE,ARS,1.3,1.4,2,0
1,MUN,LEE,1.5,0.6,5,1
1,LEI,WOL,0.8,1.1,1,0
1,BUR,BHA,1,1.3,1,2
1,WAT,AVL,1.2,1.1,3,2
1,CHE,CRY,0.9,0.3,3,0
1,EVE,SOU,2.4,0.7,3,1
1,NOR,LIV,1.4,2,0,3
1,NEW,WHU,1.5,2.3,2,4
1,TOT,MCI,1.3,1.9,1,0
2,LIV,BUR,2.9,0.7,2,0
2,AVL,NEW,1.1,0.7,2,0
2,MCI,NOR,2.7,0.1,5,0
2,CRY,BRE,0.6,0.9,0,0
2,LEE,EVE,1.5,2,2,2
2,BHA,WAT,1.5,0.9,2,0
2,SOU,MUN,0.8,1.4,1,1
2,WOL,TOT,1.4,1.5,0,1
2,ARS,CHE,0.3,2.9,0,2
2,WHU,LEI,2.5,0.8,4,1
3,MCI,ARS,3.8,0.1,5,0
3,NOR,LEI,1.6,1.3,1,2
3,WHU,CRY,1.2,0.7,2,2
3,NEW,SOU,1.4,3.6,2,2
3,AVL,BRE,0.6,1.1,1,1
3,BHA,EVE,1,1.6,0,2
3,LIV,CHE,2.6,0.8,1,1
3,TOT,WAT,0.9,0.6,1,0
3,BUR,LEE,1.4,1.5,1,1
3,WOL,MUN,1.8,0.6,0,1
4,CRY,TOT,2.4,0.1,3,0
4,SOU,WHU,0.8,0.6,0,0
4,ARS,NOR,2.8,0.6,1,0
4,WAT,WOL,0.2,2.1,0,2
4,BRE,BHA,0.7,0.2,0,1
4,LEI,MCI,0.8,2.9,0,1
4,MUN,NEW,2.1,0.7,4,1
4,CHE,AVL,1.1,1.5,3,0
4,LEE,LIV,1.2,4,0,3
4,EVE,BUR,1.3,1.3,3,1
5,NEW,LEE,1.3,2,1,1
5,WOL,BRE,0.6,2.5,0,2
5,LIV,CRY,2.7,0.8,3,0
5,MCI,SOU,1.1,0.4,0,0
5,NOR,WAT,0.9,1.9,1,3
5,BUR,ARS,1.3,1.2,0,1
5,AVL,EVE,1.3,0.7,3,0
5,WHU,MUN,1.6,1.8,1,2
5,BHA,LEI,1.4,1.7,2,1
5,TOT,CHE,0.7,1.9,0,3
6,CHE,MCI,0.3,1.7,0,1
6,MUN,AVL,2.3,1.2,0,1
6,LEE,WHU,1.3,1.8,1,2
6,LEI,BUR,2.6,0.7,2,2
6,WAT,NEW,1.1,2.5,1,1
6,EVE,NOR,2.1,0.6,2,0
6,BRE,LIV,1.9,2.5,3,3
6,SOU,WOL,1.2,1,0,1
6,ARS,TOT,0.8,1,3,1
6,CRY,BHA,1.4,0.6,1,1
7,MUN,EVE,0.9,1.1,1,1
7,LEE,WAT,1.9,0.2,1,0
7,BUR,NOR,1,0.5,0,0
7,CHE,SOU,3.6,1.3,3,1
7,WOL,NEW,0.9,0.6,2,1
7,BHA,ARS,1.4,0.5,0,0
7,WHU,BRE,1.3,1.2,1,2
7,CRY,LEI,1.3,1.7,2,2
7,TOT,AVL,1.7,1.1,2,1
7,LIV,MCI,1,1.2,2,2
8,WAT,LIV,0.5,3.6,0,5
8,LEI,MUN,3.1,1.4,4,2
8,NOR,BHA,1,0.9,0,0
8,SOU,LEE,2.2,0.2,1,0
8,MCI,BUR,1.9,1,2,0
8,AVL,WOL,1.1,2,2,3
8,BRE,CHE,1.6,0.3,0,1
8,EVE,WHU,0.8,1.5,0,1
8,NEW,TOT,0.5,1.6,2,3
8,ARS,CRY,1.4,0.9,2,2
9,ARS,AVL,2.7,1.4,3,1
9,CHE,NOR,3.2,0.2,7,0
9,LEE,WOL,1.9,1,1,1
9,SOU,BUR,1.6,0.7,2,2
9,EVE,WAT,2.3,3.2,2,5
9,CRY,NEW,1.7,0.4,1,1
9,BHA,MCI,1.3,3.9,1,4
9,WHU,TOT,1.2,0.7,1,0
9,BRE,LEI,1.2,1.5,1,2
9,MUN,LIV,1.5,3.8,0,5
10,LEI,ARS,1.2,0.9,0,2
10,MCI,CRY,1.1,1.1,0,2
10,BUR,BRE,2.2,0.7,3,1
10,NEW,CHE,0.3,2.1,0,3
10,WAT,SOU,1.2,2,0,1
10,LIV,BHA,1.1,1.1,2,2
10,TOT,MUN,0.7,1.2,0,3
10,NOR,LEE,0.9,1,1,2
10,AVL,WHU,0.7,2.3,1,4
10,WOL,EVE,1.6,1.5,2,1
11,SOU,AVL,0.8,0.6,1,0
11,MUN,MCI,0.6,2,0,2
11,BRE,NOR,2.2,1.4,1,2
11,CRY,WOL,2,0.2,2,0
11,CHE,BUR,2.2,1,1,1
11,BHA,NEW,1.6,0.2,1,1
11,LEE,LEI,1.2,1.1,1,1
11,ARS,WAT,1.8,0.6,1,0
11,EVE,TOT,0.5,0.8,0,0
11,WHU,LIV,1,1.4,3,2
12,LEI,CHE,0.4,2.4,0,3
12,AVL,BHA,0.6,0.4,2,0
12,BUR,CRY,1.3,2,3,3
12,WOL,WHU,1.2,0.5,1,0
12,NOR,SOU,0.7,1.2,2,1
12,NEW,BRE,1.6,0.8,3,3
12,WAT,MUN,2.2,1.6,4,1
12,LIV,ARS,4.3,0.4,4,0
12,MCI,EVE,2.3,0.3,3,0
12,TOT,LEE,2,1.1,2,1
13,ARS,NEW,2,0.2,2,0
13,CRY,AVL,0.9,0.4,1,2
13,NOR,WOL,1.5,0.3,0,0
13,LIV,SOU,2.5,1,4,0
13,BHA,LEE,2,1,0,0
13,BRE,EVE,1.2,0.9,1,0
13,LEI,WAT,2.2,2.7,4,2
39,BUR,TOT,,,0,0
13,MCI,WHU,2.1,0.2,2,1
13,CHE,MUN,2.9,0.7,1,1
14,NEW,NOR,,,0,0
14,LEE,CRY,,,0,0
14,WHU,BHA,,,0,0
14,WOL,BUR,,,0,0
14,WAT,CHE,,,0,0
14,SOU,LEI,,,0,0
14,AVL,MCI,,,0,0
14,EVE,LIV,,,0,0
14,TOT,BRE,,,0,0
14,MUN,ARS,,,0,0
15,WHU,CHE,,,0,0
15,NEW,BUR,,,0,0
15,SOU,BHA,,,0,0
15,WOL,LIV,,,0,0
15,WAT,MCI,,,0,0
15,LEE,BRE,,,0,0
15,TOT,NOR,,,0,0
15,MUN,CRY,,,0,0
15,AVL,LEI,,,0,0
15,EVE,ARS,,,0,0
16,BRE,WAT,,,0,0
16,MCI,WOL,,,0,0
16,CHE,LEE,,,0,0
